categoria,classificacao,groupId,max_similaridade,nomes,numero,pdfId_a,pdfId_b,tipo
,,,0.36,jesus ressuscitou! (meu amigo jesus) | nos atrios do senhor entramos | se confessarmos,45,,,numero_nomes_distintos
,,,0.76,"a tua justica | a tua justica, o deus",450,,,numero_nomes_distintos
,,,0.68,"e tempo, e tempo | e tempo, e tempo marchar avante",459,,,numero_nomes_distintos
,,,0.43,"ao sentir o teu perdao | como e bom servir a deus | sei que es fiel, jesus",46,,,numero_nomes_distintos
,,,0.68,"tu, o senhor aviva a tua obra | tu, o senhor, tu es tao puro de olhos (aviva a tua obra)",461,,,numero_nomes_distintos
,,,0.31,e teu sangue | shekinah | tenho no meu coracao,47,,,numero_nomes_distintos
,,,0.46,jesus cristo e o amado | pelo sangue de jesus eu vou clamar | torre forte,48,,,numero_nomes_distintos
,,,0.33,"barnabe, homem de deus | clamando estou | estou aqui pra confessar",5,,,numero_nomes_distintos
,,,0.43,"do alto ceu | o sangue de jesus | tua alma esta ferida, magoado o coracao (vinde a mim)",50,,,numero_nomes_distintos
,,,0.36,"eis-me aqui, senhor, em teu altar | pelo sangue de jesus eu vou clamar | vozes lindas (coro celestial)",51,,,numero_nomes_distintos
,,,0.30,"deus mesmo revelou o novo ceu | escuta-me, senhor | seu nome e maravilhoso",52,,,numero_nomes_distintos
,,,0.38,"e bom, e bom demais | o sangue do cordeiro de deus | pai nosso (coro masculino)",53,,,numero_nomes_distintos
,,,0.62,arrebatado fui | arrebatado fui no dia do senhor,541,,,numero_nomes_distintos
,,,0.67,ao lado de deus | ao lado de deus eu quero estar,543,,,numero_nomes_distintos
,,,0.42,cristo e o senhor | uma voz mansa e delicada (i reis 19) | vitoria sobre vitoria,56,,,numero_nomes_distintos
,,,0.62,ouvi como que a voz | ouvi como que a voz de uma grande multidao,561,,,numero_nomes_distintos
,,,0.63,quando sera | quando sera o grande dia,567,,,numero_nomes_distintos
,,,0.36,em fervente oracao | ha uma linda cancao de amor,57,,,numero_nomes_distintos
,,,0.70,ja refulge a gloria eterna | ja refulge a gloria eterna (vencendo vem jesus!),570,,,numero_nomes_distintos
,,,0.67,reunimo - nos aqui | reunimo-nos aqui pra te adorar,576,,,numero_nomes_distintos
